ativo; ultimoPreco;quantidade;oscilacao;tendencia;hora;qtdOfertaCompra;vlOfertaCompra;qtdOfertaVenda;vlOfertaVenda;qtdNegociada;volumeNegocios;negocios;statusPapel;precoTeoricoAbertura;qtdTeoricaAberrtura;dtCotacao;fechamentoAnterior;precoAbertura;precoMinimo;precoMedio;precoMaximo;dtFechamento;vlFechamento
PLAS3;9,00;100;0,22;;11:35:25;800;8,75;500;8,99;600;5400;2;S;;;08/03/2019;8,98;9,00;9,00;9,00;9,00;06/03/2019;
RCSL4;1,63;100;0,62;+;13:36:36;100;1,61;5200;1,63;8700;14027;32;S;;;08/03/2019;1,62;1,62;1,57;1,61;1,64;07/03/2019;
RSUL4;;;;;;100;64,50;200;71,50;;;;S;;;;64,51;;;;;07/03/2019;
FRAS3;5,03;600;1,21;=;14:18:13;1200;5,03;300;5,05;16600;83471;59;S;;;08/03/2019;4,97;5,02;4,96;5,03;5,08;07/03/2019;
LEVE3;26,13;100;1,32;=;14:18:47;200;26,07;300;26,13;58800;1534253;284;S;;;08/03/2019;25,79;25,72;25,57;26,09;26,82;07/03/2019;
TUPY3;18,48;100;-0,16;=;14:18:11;1200;18,47;600;18,48;131500;2428404;1023;S;;;08/03/2019;18,51;18,56;18,40;18,47;18,64;07/03/2019;
POMO3;3,47;600;0,87;=;13:57:18;600;3,46;3000;3,47;6800;23531;27;S;;;08/03/2019;3,44;3,47;3,44;3,46;3,47;07/03/2019;
POMO4;4,07;100;0,49;=;14:18:48;45200;4,07;28800;4,08;1359600;5535880;1353;S;;;08/03/2019;4,05;4,05;4,01;4,07;4,10;07/03/2019;
RAPT3;7,46;100;0,13;-;14:10:23;1000;7,45;100;7,67;1500;11326;10;S;;;08/03/2019;7,45;7,43;7,43;7,55;7,67;07/03/2019;
MYPK3;21,81;100;-0,86;+;14:19:14;400;21,80;100;21,82;146100;3183520;1140;S;;;08/03/2019;22,00;21,95;21,60;21,79;21,95;07/03/2019;
RAPT4;9,86;100;3,03;=;14:19:13;2800;9,86;3800;9,87;1495500;14600614;4899;S;;;08/03/2019;9,57;9,60;9,56;9,76;9,90;07/03/2019;
SEDU3;22,05;500;-0,05;=;12:20:55;1500;22,06;100;22,09;41400;912843;11;S;;;08/03/2019;22,06;22,02;22,02;22,05;22,05;07/03/2019;
SLED3;2,09;100;4,50;=;13:48:43;100;2,02;100;2,09;600;1257;3;S;;;08/03/2019;2,00;2,10;2,09;2,10;2,10;07/03/2019;
SLED4;2,17;100;0,46;=;13:43:22;400;2,14;200;2,16;9500;20551;23;S;;;08/03/2019;2,16;2,11;2,11;2,16;2,20;07/03/2019;
CCXC3;3,35;200;0,00;;11:52:02;300;3,33;2400;3,35;200;670;1;S;;;08/03/2019;3,35;3,35;3,35;3,35;3,35;07/03/2019;
MMXM3;2,14;100;2,39;+;13:48:15;1000;2,13;2200;2,14;3500;7463;16;S;;;08/03/2019;2,09;2,09;2,09;2,13;2,15;07/03/2019;
VALE3;48,42;100;-0,90;-;14:19:15;1000;48,42;1900;48,43;15653200;754017426;28023;S;;;08/03/2019;48,86;48,26;47,65;48,17;48,75;07/03/2019;
TELB4;27,80;100;1,28;+;12:53:45;500;27,85;200;28,36;3400;93352;20;S;;;08/03/2019;27,45;27,15;27,10;27,46;27,80;07/03/2019;
TELB3;;;;;;100;29,60;100;35,00;;;;S;;;;37,00;;;;;06/02/2019;
DMMO3;0,82;100;-1,20;=;14:19:05;486800;0,82;159300;0,83;992700;819358;475;S;;;08/03/2019;0,83;0,82;0,82;0,82;0,84;07/03/2019;
;;;;;;;;;;;;;;;;;;;;;;;
OSXB3;4,20;100;-6,46;;13:16:13;100;4,25;100;4,49;100;420;1;S;;;08/03/2019;4,49;4,20;4,20;4,20;4,20;07/03/2019;
RPMG3;;;;;;1400;2,81;2000;2,89;;;;S;;;;2,80;;;;;07/03/2019;
QGEP3;14,57;100;-0,41;=;14:18:54;1900;14,56;900;14,57;783300;11281875;4065;S;;;08/03/2019;14,63;14,55;14,09;14,40;14,65;07/03/2019;
BRDT3;25,08;100;1,33;=;14:19:18;900;25,07;1200;25,08;2371100;59476478;7750;S;;;08/03/2019;24,75;24,50;24,41;25,08;25,45;07/03/2019;
PETR4;26,49;100;-1,05;=;14:19:19;5400;26,49;5800;26,50;32713700;864280886;27396;S;;;08/03/2019;26,77;26,49;26,22;26,42;26,67;07/03/2019;
PETR3;28,79;100;-1,47;+;14:19:18;3800;28,78;5500;28,79;5362100;154256288;7541;S;;;08/03/2019;29,22;28,85;28,54;28,77;28,97;07/03/2019;
PRIO3;17,60;100;-2,87;=;14:19:06;500;17,60;1300;17,61;745900;13207730;2336;S;;;08/03/2019;18,12;18,10;17,44;17,71;18,10;07/03/2019;
IRBR3;88,45;100;2,25;-;14:19:08;500;88,44;700;88,48;876400;76849962;5143;S;;;08/03/2019;86,50;86,49;85,14;87,69;88,89;07/03/2019;
CSAB4;;;;;;;;;;;;;S;;;;46,00;;;;;29/01/2019;
BBSE3;26,52;100;0,11;=;14:19:13;3200;26,52;4100;26,53;1158600;30737689;6225;S;;;08/03/2019;26,49;26,49;26,31;26,53;26,67;07/03/2019;
CSAB3;;;;;;;;;;;;;S;;;;48,50;;;;;08/02/2019;
WIZS3;8,79;100;0,46;+;14:19:14;1100;8,78;700;8,79;206800;1808708;788;S;;;08/03/2019;8,75;8,75;8,61;8,75;8,85;07/03/2019;
SULA4;;;;;;100;8,29;200;8,96;;;;S;;;;8,44;;;;;06/03/2019;
